episode,final_profitability,total_reward
0,37.1178,17.4886
1,53.3264,8.7906
2,54.1584,9.3490
3,54.1329,8.7687
4,56.9051,22.4964
5,52.9070,22.3865
6,10.2116,-6.2805
7,48.5889,38.0133
8,26.3896,16.2713
9,46.4569,37.4320
10,51.7844,34.4752
11,49.0170,23.4176
12,56.4727,37.8221
13,62.6847,11.8442
14,58.7574,8.1450
15,35.4003,30.5114
16,55.6058,6.0134
17,27.3615,31.8410
18,57.8199,21.5156
19,35.4003,15.4514
20,35.4003,29.8114
21,36.1214,17.2886
22,60.8615,26.0660
23,51.7370,7.2248
24,24.4505,17.8119
25,19.6542,-4.9661
26,13.6046,-4.7666
27,49.9423,8.6668
28,35.4003,30.4514
29,55.7033,7.3544
30,56.1598,8.7290
31,55.0571,8.0480
32,55.9829,36.7872
33,43.2920,32.3503
34,53.8054,9.3454
35,46.6055,6.0134
36,54.0699,7.4281
37,54.1031,32.4584
38,54.8300,10.3257
39,47.0978,7.4484
40,35.4003,15.4814
41,29.4123,15.8615
42,50.4370,9.4018
43,58.6689,9.4541
44,57.8335,9.4457
45,20.4402,0.0718
46,33.7526,31.9349
47,27.3370,0.8408
48,50.3585,36.2810
49,11.8695,27.1161
50,52.8693,37.2061
51,34.7313,15.9447
52,54.8847,9.3862
53,50.2383,32.2698
54,27.1293,31.7287
55,56.2524,8.2099
56,53.9914,36.5973
57,63.0824,13.3082
58,53.1012,37.2584
59,39.7915,15.9653
60,59.5059,36.0524
61,39.9469,32.5269
62,62.7397,39.7048
63,50.4787,8.0022
64,32.7214,15.9546
65,34.6796,16.9142
66,36.4130,31.5215
67,57.4915,8.2223
68,34.9671,16.8071
69,58.5890,35.8133
70,51.4856,7.3422
71,58.3443,38.1708
72,33.8254,15.7056
73,56.0822,22.2282
74,56.9105,33.1265
75,24.1760,0.6991
76,46.7976,8.6654
77,39.9501,15.9669
78,34.3759,16.2711
79,32.8779,15.7862
80,35.4003,29.8114
81,51.6547,36.9839
82,32.9991,16.8974
83,59.9028,35.5264
84,59.7907,35.5553
85,52.9881,8.6373
86,58.3886,8.9313
87,49.9471,7.9969
88,30.7516,15.7649
89,25.5403,2.7228
90,54.6598,37.2140
91,52.4581,9.3320
92,52.1473,9.2689
93,56.1462,8.9088
94,27.6481,29.7239
95,54.2753,9.3501
96,45.4963,23.1223
97,55.3423,9.4208
98,58.0138,9.5375
99,17.2786,27.2102
100,50.9621,9.4370
101,63.1610,38.7690
102,48.1302,8.7087
103,58.1238,21.0386
104,51.7872,6.8553
105,53.6836,23.6442
106,30.3916,30.2313
107,33.0103,14.8875
108,47.3702,7.3011
109,49.8517,7.3259
110,19.0932,-2.1317
111,48.8986,9.4164
112,49.2567,9.3900
113,42.8908,8.6863
114,27.2074,0.5795
115,47.8330,7.2757
116,54.3369,38.1408
117,52.4180,8.2616
118,59.1708,8.1191
119,36.7192,31.4346
120,53.5753,37.9331
121,61.6907,13.1143
122,61.1560,13.1089
123,48.7942,7.9253
124,38.2426,30.9498
125,59.9747,7.4271
126,50.3465,35.1009
127,35.4003,30.4514
128,48.0903,8.6783
129,60.6054,43.1434
130,33.0533,31.5579
131,60.4091,14.4415
132,30.4227,18.1716
133,59.3312,8.7307
134,23.8674,-0.1739
135,59.1511,20.5089
136,23.3973,0.3714
137,15.0237,26.6976
138,31.0396,15.8478
139,58.6140,6.7435
140,32.4872,30.7823
141,52.2238,9.3296
142,56.4625,33.2120
143,37.1877,31.7693
144,55.2878,36.7503
145,46.7411,21.4248
146,54.5547,23.2129
147,55.3605,33.6910
148,52.5025,8.0224
149,54.9800,37.0672
150,35.4003,15.4814
151,56.9277,8.6467
152,50.6471,7.3639
153,42.6477,9.3839
154,56.5482,7.3629
155,57.5817,36.6332
156,55.1057,9.3884
157,51.6359,34.3837
158,33.5296,31.4327
159,31.7233,31.3646
160,63.8544,13.1659
161,59.8844,21.6462
162,57.4253,8.0416
163,54.5960,35.7133
164,54.6467,8.0739
165,32.8642,31.4260
166,39.5101,31.5525
167,55.1433,8.8388
168,10.8700,9.9461
169,35.4003,30.4514
170,60.3541,42.4609
171,35.6789,17.5842
172,30.6131,15.8735
173,48.7004,39.2944
174,60.3226,13.1006
175,49.4046,8.6014
176,35.4003,30.4814
177,58.0283,7.3777
178,54.6549,36.5439
179,54.7903,7.4353
180,49.3011,6.7404
181,29.3783,31.2212
182,59.3850,9.4912
183,51.8001,7.9254
184,54.2371,8.8298
185,35.0312,15.9477
186,55.5714,7.3231
187,54.0301,8.0677
188,35.4003,30.4514
189,32.7238,30.9546
190,7.4908,-3.8477
191,41.0679,6.5681
192,20.5047,16.1024
193,57.1418,9.3488
194,28.2103,31.9095
195,20.3612,1.1810
196,51.3177,8.7406
197,56.0536,8.0579
198,59.0286,7.4177
199,58.6663,8.7540
